stdid label
0 MIS
1 unknown
2 CS
3 unknown
4 unknown
7 DA
8 unknown
9 DA
11 DA
12 DA
14 AI
17 MIS
18 MIS
19 DA
43 DA
44 DA
53 AI
56 CS
57 CS
58 CS
59 CS
63 CS
65 AI
67 IE
68 IE
69 IE
73 MIS
74 MIS
81 IE
85 MIS
91 IE
93 AI
95 AI
120 MIS
129 AI
133 AI
137 CS
138 CS
141 DA
146 IE
161 DA
167 unknown
168 AI
172 AI
176 AI
177 MIS
183 AI
184 IE
187 IE
188 IE
189 IE
190 IE
192 CS
193 CS
194 CS
195 CS
197 AI
198 AI
199 AI
200 AI
201 AI
202 AI
203 AI
206 AI
207 AI
213 DA
215 unknown
218 MIS
219 MIS
220 MIS
221 MIS
222 MIS
223 MIS
224 MIS
225 MIS
226 MIS
227 MIS
228 MIS
232 AI
246 DA
247 unknown
248 MIS
249 DA
256 AI
264 DA
265 DA
266 DA
267 DA
270 AI
275 AI
276 AI
280 unknown
281 CS
286 CS
287 IE
290 unknown
291 AI
292 AI
293 unknown
294 AI
297 MIS
298 IE
299 IE
305 CS
307 MIS
308 MIS
309 MIS
310 MIS
311 MIS
312 MIS
313 unknown
314 MIS
315 MIS
316 MIS
317 MIS
324 DA
332 DA
341 MIS
358 DA
359 DA
360 DA
362 DA
365 DA
374 unknown
399 AI
401 AI
403 AI
406 DA
407 DA
408 CS
412 CS
413 AI
414 MIS
415 MIS
418 IE
419 AI
421 DA
425 AI
426 AI
430 DA
440 AI
441 DA
449 MIS
450 AI
451 DA
452 DA
457 AI
458 AI
459 MIS
464 AI
466 DA
467 IE
468 MIS
473 IE
474 IE
476 IE
479 MIS
480 IE
484 AI
486 unknown
487 DA
488 DA
493 AI
496 DA
498 DA
499 DA
500 DA
501 DA
502 DA
503 DA
504 unknown
505 DA
506 DA
508 IE
509 IE
510 DA
515 AI
516 MIS
517 MIS
520 CS
522 unknown
523 AI
525 DA
526 AI
529 DA
530 DA
532 CS
534 AI
536 IE
540 IE
542 unknown
543 AI
544 AI
549 IE
550 IE
551 unknown
555 DA
556 AI
558 DA
562 AI
563 AI
565 DA
566 DA
567 AI
568 AI
569 DA
570 unknown
571 CS
572 AI
573 DA
574 AI
576 AI
582 IE
584 AI
585 AI
586 CS
587 CS
600 AI
602 DA
603 MIS
605 MIS
608 DA
611 AI
620 AI
623 AI
625 CS
627 IE
629 MIS
634 CS
635 CS
645 MIS
649 DA
650 MIS
655 AI
661 DA
663 IE
664 AI
666 DA
667 unknown
672 DA
674 unknown
678 IE
685 CS
688 AI
689 AI
690 IE
694 AI
696 MIS
697 MIS
699 DA
700 unknown
705 AI
706 AI
707 DA
710 unknown
713 IE
714 AI
715 IE
718 CS
720 DA
727 AI
729 DA
734 MIS
739 DA
743 unknown
747 IE
749 AI
754 DA
762 CS
764 MIS
765 DA
778 IE
779 IE
789 AI
790 AI
791 AI
797 MIS
799 unknown
800 IE
802 AI
803 CS
804 DA
805 DA
813 AI
815 CS
817 AI
818 IE
822 AI
823 DA
826 CS
827 DA
829 AI
830 DA
832 CS
833 DA
835 AI
836 AI
840 AI
843 AI
844 unknown
845 CS
846 MIS
849 CS
850 unknown
852 MIS
855 IE
856 DA
863 CS
865 CS
872 MIS
873 unknown
874 AI
877 IE
880 CS
884 CS
893 unknown
899 CS
901 CS
905 MIS
909 AI
910 AI
911 IE
912 DA
913 DA
916 MIS
921 CS
922 DA
936 AI
938 AI
940 AI
951 DA
952 IE
956 DA
957 DA
958 IE
965 unknown
967 DA
968 IE
969 IE
972 IE
982 CS
990 CS
992 AI
993 unknown
996 DA
998 DA
1000 AI
1001 CS
